about_the_game,short_description,genres,tags,filtered_genres
earth’s last hope against an invasion is a band of military rebels zombies aliens guns enough said aliens have attacked the planet and they’re turning innocent people into mindless zombies it won’t be long before the invaders have destroyed the planet unless somebody with guns stands in their way that’s where you come in lead a cadre of militarized rebels who are ready to take down every last enemy in their path get ready for 33 levels of carnage a variety of weapons locations and scenarios and epic boss fights features 25d shooting action gameplay 33 levels variety of terrain and scenarios multiple weapons boss battles  ,earth’s last hope against an invasion is a band of military rebels zombies aliens guns enough said,"['action', 'casual', 'indie']",,"['action', 'casual', 'indie']"
contrasted is a single player coop platformer with nonstop action use one hand to control each character moving them around the levels while avoiding obstacles and solving puzzles to find your way out inspired by games like super meatboy and n contrasted is guaranteed to bring you hours of exciting challenging frustrating gaming like never before,single player coop platformer two characters two hands one player,['indie'],indie 21 platformer 11,['indie']
oh hi it is an action and shooting platform game based on the eradication of monsters you have an electromagnetic handgun from galaxy researching institution of weapons and your fist story mode a monster factory suddenly appeared in the city horrible insects monsters and flying creatures were turning the city into ruins the officer of star troops su anya is rushing to the factory at this time it may depend on her to rescue the citys security forces but the landing point is a little bit far from the factory she has to pass through the magic forest glacier desert to reach the factory we must hurry up numbers of monsters are increasing rapidly entertainment mode the field of twins of queen this is a collision between magic and technology back line go to defeat the destroyer of the city lab from where you may find clues to monsters on condition that you can come back alive game features challenging platform jumping and traps dance with those enemies and music escape from big bugs and dangerous monsters try to collect crystals and gemstones though they cant help in this war using your fists to march forward perhaps using electromagnetic weapon could work better,a big and strange factory suddenly appears in the city monsters emerge here and there officer of star troops su anya will come to the earth to help the army in the city when she arrives at the destination however forests mountains and magic lives stop her marching forward,"['action', 'indie', 'rpg']",action 22 rpg 22 indie 22 nudity 22 gore 21 sexual content 5,"['action', 'indie', 'rpg']"
where will you end up without a roof without a roof is a game of dark humor and mischievous choices hunt or be hunted  war is a survival sandbox with many features play survival your way hunting zombies crafting recipes procedural cities fortifying buildings player traps base building with multiplayer survival procedurally generated towns and city layouts fortification building with upgrades open world sandbox amp environments player choice and roleplay variety of equipment armor and clothing player controlled traps and trick variety individual server save system built in  no ghosting private hives large scale choice driven survival be creative with endless outcomes attack others with drugs and traps force addictions on other survivors steal resources and paraphernalia or lend them a friendly hand you make the calls every realm is different rewards are plentiful for hunters abroad sleep outside the city for a different type of night everyone has an addiction to somethingright in cities with endless possibilities strive to stay clean of substances or use them at will to reap the short term benefits fortification amp progression secure your loot stash drugs and cures gang up with friends to stay safe from the dead and those still living with evil intentions in war building locations and objects are all random adding a new level of unknown to every situation and open world sandbox what exists in one world may never exist in another plans for early access city and environmental graphical improvements expansions to major cities  small towns world ai advanced drones and tools trader ai back bones additional equipment additional clothing additional weapons optimizations for all pcs server modding  server host tools war will not contain microtransactions locked crates or paytowin items ,hunt or be hunted  war is a survival sandbox with many features play survival your way hunting zombies crafting recipes procedural cities fortifying buildings player traps base building with multiplayer survival,"['action', 'adventure', 'indie', 'massively', 'multiplayer', 'rpg', 'simulation', 'early', 'access']",indie 56 simulation 56 action 56 adventure 55 rpg 55 massively multiplayer 55 early access 32 violent 31 gore 31 survival 14 open world survival craft 12 procedural generation 12 sandbox 12 funny 11 surreal 11 moddable 11 survival horror 10 action rpg 10 mmorpg 10,"['action', 'adventure', 'indie', 'massively', 'multiplayer', 'rpg', 'simulation', 'early', 'access']"
dwarf star is a 2d topdown space shooter game in the style of games published in the early 90s you play as a mercenary in the midst of the war between the galactic union and the genetically engineered proximas your job in the game is to complete missions which allows you to gain mission points which lets you unlock more mission tiers which contain more missions to complete you can also skip mission tiers most missions involve shooting down enemy ships from the proximas but it can often range from racing outlaws to exploring pristine lake planets for missing ships,dwarf star 16 bit inspired game where mercenary go shoot shoot on evil alien guys who were accidentally fabricated by the government top down space shooter with a mission based structure however you can do these missions in plenty of different orders with different amounts of upgrades,"['action', 'casual', 'indie']",action 232 casual 226 shooter 202 bullet hell 197 topdown shooter 191 2d 181 pixel graphics 174 topdown 166 aliens 157 mars 148 old school 138 retro 126 scifi 124 space 110 war 95 combat 79 linear 62 pve 44 vehicular combat 27 singleplayer 25,"['action', 'casual', 'indie']"
remember the same symbols gradually opening the full picture play now  25 images relaxing music achievements soon ,remember the same symbols gradually opening the full pictureplay now 25 images relaxing music achievements soon,"['casual', 'indie']",,"['casual', 'indie']"
conquering ciros is an action rogue like with a dash more strategy involved than you may have come to expect with the genre you play as nilvor a reborn lich learning about what happened to his kingdom and his place in this new world you must fight off hordes of enemies while unlocking new crystals synergies and upgrades find out what happened to your kingdom and try to regain control of what was once yours the first thing you will do when put into the game is fight enemies make sure to take care of them fast or else the horde will grow into an amount of enemies you wont be able to fend off once you get enough experience the game will be paused and you can buff your crystals you just need to click and drag a buff onto a crystal in your sigil after you kill a mini boss you will be able to add the dropped crystal into your sigil you will be able to see all the crystals you have unlocked through the journal as well as the diary entries from nilvor about what he remembers and learns through his journeys,conquering ciros is an action rogue like with a dash of strategy you play as nilvor a reborn lich learning about what happened to his kingdom and his place in this new world fight off hordes of enemies while unlocking new crystals synergies and upgrades regain what is rightfully yours,"['action', 'rpg', 'early', 'access']",,"['action', 'rpg', 'early', 'access']"
ai was built for replacing human but as the time goes on she was abandoned in abandoned district then how will she face to the life day by day aiqsgeng the core of this game was outdated so it will no longer be maintained the puzzles are hardcore you may not like it maybe i will remake connect01 in the future,ai was built for replacing human but as the time goes on she was abandoned in abandoned district then how will she face to the life day by day,['casual'],casual 31 gore 21 violent 21,['casual']
dead forest  is a singel player hordes mode game in the you waves of enemies to survive have to equip yourself with items and weapons survive hundreds of waves    story   youre trapped in purgatory and must find a way out fight your way through hordes of enemies and find a way  hordes of enemies of various types will arise in your way i will fight this with pure force collect weapons and items in the games environment and defend yourself against the advancing hordes of enemies    weapons   fight your enemies with more than 8 weapons including ak47 m4 and many more crush your enemies with our merciless weapons    enemy   fight zombies  crazy soldiers and aliens meet scary monsters   engine   with the unity engine we conjure you brilliant effects and splater effects and thanks to directx 11 youre up to date   easy to learn hard to master   the first rounds are easy but as further you get the more enemies will be there and they are getting harder see you,dead forest  is a singel player hordes mode game in the you waves of enemies to survive have to equip yourself with items and weapons survive hundreds of waves    story   youre trapped in purgatory and must find a way out fight your way through hordes of enemies and find a way,"['action', 'indie']",spectacle fighter 114 fps 108 bullet hell 104 open world 101 fighting 98 shooter 92 experimental 90 arcade 88 firstperson 86 story rich 84 psychological horror 82 action 71 zombies 69 lovecraftian 66 adventure 53 singleplayer 51 indie 49 anime 28 funny 27,"['action', 'indie']"
the castle mystery is a firstperson scavengerlike horror game with 3 different endings you step into the shoes of a historian who one night receives a letter from an unknown sender it prompts you to visit a castle and take photos of specific artifacts located within and around the building you would normally not take such a sketchy job but a hefty sum of money is promised and you need it desperately so with your trusty polaroid camera off to the castle you go while exploring different areas of this secluded stone building something seems off it feels as though something is watching you from the shadows snap the photographs get out ,the castle mystery is a firstperson scavengerlike horror game one night you receive a letter from an unknown sender it prompts you to visit a castle and take photos of specific artifacts located within and around the building a large sum of money is on the line so is your life,"['action', 'adventure', 'indie']",horror 159 multiple endings 153 atmospheric 149 puzzle 144 firstperson 138 medieval 128 actionadventure 121 mystery 114 thriller 106 dark 96 realistic 94 controller 82 singleplayer 69 3d 55 adventure 46 action 44 surreal 40 indie 20,"['action', 'adventure', 'indie']"
discover all the colors in the art zone by surrounding creatures the same color as you make yourself red blue or yellow and discover how to become orange green and purple in this action title quickly find the color you need and avoid spikes bouncers and enemies as you travel throughout the colorful art zone bring a big palette because youll need the right tint and shade as well draw shapes around enemies to defeat them find the right color for the right enemies mix colors to find the right color needed for each enemy avoid bumpers spikes and projectiles from enemies send enemies away with a sonic blast,discover all the colors in the art zone by surrounding creatures the same color as you make yourself red blue or yellow and discover how to become orange green and purple in this action title,"['action', 'indie']",action 31 indie 31 arcade 12 cartoony 11 colorful 11 education 10,"['action', 'indie']"
originally the game was named easter bunny 2 however i changed the name at launch to egg bunny 2 so its less seasonal specific i hope you enjoy it regardless of the name change game designed for people at all ages minimal amount of text instead the game will try to explain with sounds or pictures you are the egg bunny which are given tasks by the bunny king to go and collect the eggs that are scattered over the forest explore the forest and collect the eggs return the eggs to the king for a reward game is optimized gamepad or controller and will give the best feeling mouse and keyboard can be used if other is not available game loop is go to the rabbit king and get your task to collect eggs then collect the eggs and return to the king for a new task collect in total 100 eggs,you are the egg bunny which are given tasks by the bunny king to go and collect the eggs that are scattered over the forest explore the forest and collect the eggs return the eggs to the king for a reward,"['adventure', 'casual', 'indie']",adventure 73 casual 67 sandbox 44 exploration 41 3d 38 colorful 32 fantasy 30 nature 28 funny 26 controller 24 open world 22 singleplayer 20 indie 20 collectathon 18 cute 16 cartoony 14 third person 12,"['adventure', 'casual', 'indie']"
attack zone mode description endless mode in endless mode you face endless waves of enemies and fight for your survival not only are there normal waves but also elite waves and boss waves that present additional challenges in endless mode your goal is to defeat as many enemies as possible and achieve a high score challenge mode in the challenge mode you fight through multiple waves of enemies to complete your specific task depending on the challenge this can involve a varying number of waves including both normal and boss waves your goal is to survive all the waves without dying if you succeed in mastering this challenge you will be rewarded shooting area mode in shooting area mode you can try out all weapons and do a few shooting exercises at the same time there are a few targets that you can shoot to train your aim at the same time perk description perks are modifications that affect the action of the game you can unlock different perks with perk points the unlocked perks help you fight where do you get the perk points you get the perk points when you level and when you complete challenges of course also when you kill enemies level description in endless as well as in challenge mode there are 2 maps where you are bombarded from time to time with an artillery bombardment the artillery bombard the whole map you must try to survive the attack and find a safe place before the bombs hit the ground if you dont find a safe place in time you die and have to start all over again how do you know when the artillery missiles will be fired theres an alarm as soon as you hear him you should take cover and stay somewhere safe trophies description in endless mode you can find 10 hidden trophiesthe 10 hidden trophies are distributed on all maps finding a trophy gives you xp and perk points as a reward game modes endless mode challenge mode shooting area ,attack zone is an fps shooter you are placed in an attack zone and must fight for your survival,"['action', 'casual', 'indie']",action 51 fps 46 casual 45 shooter 40 3d 37 firstperson 34 military 23 indie 21 combat 21 singleplayer 19,"['action', 'casual', 'indie']"
new year is approaching santa needs to deliver gifts but he was so busy with important matters that he completely forgot about the gifts so santa ran to the city and the forest to take all the presents and then give them to the people but other people and animals are interfering with it  deers who want to knock santa down dogs who are looking for food penguins that just run around and girls who want to get gifts before others your goal is to collect as many presents and dodge other people and animals so that they do not knock you down features new year and christmas atmosphere funny and simple gameplay several locations forest and city several kinds of enemies deers dogs penguins and girls ability to be santa good soundtrack steam achievements musickuba te  christmas time,you play for santa and you need to collect as many presents and dodge of other people and animals so that they do not knock you down,"['adventure', 'casual', 'indie']",indie 22 adventure 21 casual 21,"['adventure', 'casual', 'indie']"
new work from home update bug fixes updated maps and now with bots so you can play alone while you social distance  go to work make money be a patriot in the near future ai has taken all of our jobs and the only jobs left for humans are sending emails back and forth to each other corporate america is a fast paced multiplayer shooter where you shoot emails to your coworkers instead of guns featuring online and lan modes relive the fast paced arena shooters of old with a new sterile twist conveniently reconceptualize ebusiness methodologies in corporate america action items play online or local with up to 15 friends or rivals 5 arenas included over 3 game types game types include patiencematch patriotism capitalism achievements all future updates and additions are free with purchase of game ,corporate america is a fast paced multiplayer shooter where you shoot emails to your coworkers in intense competitive matches online and off to see who is the best corporate shill,"['action', 'indie']",action 31 indie 31,"['action', 'indie']"
you are a brave guard of the kingdom and you have been entrusted with the most important job of all protecting the kings treasures but unfortunately the entire fortune was stolen and the majesty blamed you for the bad work no one knows who the thief is and your sentence is to seek out all the wealth of the empire without your valuable magic sword go through dozens of levels between castles pyramids and haunted houses and look for hidden chests beware of challenging traps and dangers take back your honor and be a hero again,welcome to keys and kastles a simple but very challenging platform game go through different stages and try to look for hidden treasures be careful as there are traps around every corner good luck,"['action', 'adventure', 'casual']",adventure 72 action 66 casual 63 actionadventure 40 collectathon 37 side scroller 31 2d platformer 29 precision platformer 27 2d 25 colorful 23 pixel graphics 21 minimalist 19 fantasy 17 medieval 15 nonlinear 13 singleplayer 12,"['action', 'adventure', 'casual']"
get into the christmas spirit with this festive holiday vr game visit a charming christmas plaza filled with friendly penguins who challenge you to play winterthemed carnival games win them all to get a special visit from santa play the games take in the expert penguin iceskaters on display and enjoy the snowy calm ambience of this delightful holiday village minigames include holidarts you may be good at regular darts but how are you at virtual darts try it and see skiball a classic midway favorite throw those snowballs up the ramp to try and get the high score reindeer basketball are you ready to shoot some hoops on a timer with a reindeer holding the net blizzard blaster grab your snowball shooter how many targets can you get in a short amount of time this christmas season download kris kringles christmas village vr for a fun and festive holiday experience ,get into the spirit of christmas with this festive holiday vr experience play wintery carnival activities holidarts skiball reindeer basketball and the blizzard blaster gallery,"['casual', 'simulation']",simulation 108 casual 106 vr 104 arcade 95 family friendly 93 basketball 71 shooter 63 3d 60 snow 58 atmospheric 54 relaxing 49 cute 43 immersive sim 43 singleplayer 41,"['casual', 'simulation']"
click cricket is a casual cricket management simulation of both 20 and 50 over international cricket matches designed to be fun yet with challenging strategic elements to its gameplay each match is unique can be completed in under 510 minutes when youre ready take on the worlds greatest with the new tournament mode battle through competitive group stages through to the final and ultimate cricketing glory key features play against challenging ai with 16 international cricket teams of varying skill will you play as one of the big international teams or chase success as a smaller nation with limited resources choose from quick twenty over matches or the longer 50 over format each requiring a different approach to victory each game is unique as your players skills are different each time you may need manipulate a batter heavy team to ensure enough runs to compensate for a lack of bowlers or make the most of a team with only a handful of star players manage a team of specialised batters and bowlers as well as all rounders set the aggression of your batters to balance their effectiveness to score against not getting out batsman take time to get settled but dont wait too long as overs are limited rotate your bowling attached effectively as the opposing batters will score quickly off poor bowling take note of pitch conditions and weather that can affect the ease of scoring use your star players carefully to turn the course of a match in your favour compete in the world tournament and battle through group stages and knockouts on the way to the final rotate your squad to out do your opponents as well as manage injuries as you progress deeper into the tournament keep an eye on your players form and fitness  but dont peak too early save your best for the final matches ,click cricket is a single player casual cricket management simulation for pc the simple but engaging gameplay makes each match is unique with its own set of challenges to overcome and ensure victory on the field when youre ready take on the tournament mode for the ultimate cricketing challenge,"['casual', 'sports']",sports 57 casual 54 cricket 43 singleplayer 31 arcade 28 2d 22,"['casual', 'sports']"
​a festive hangman type word game which is fun to play dont melt the snowman is a word game that is often played by one or more people the game is a simple yet engaging way to test ones vocabulary and guessing skills heres how the game typically works setup dont melt the snowman will generate a word based on a festive time of year and keeps it a secret in its memory bank the chosen word is usually related to a specific category such as christmas or other celebration melting the snowman the original game traditionally involves drawing a gallows a structure used for hangings and an empty space for each letter of the chosen word the number of spaces represents the number of letters in the word in dont melt the snowman the gallows are replaced by a snowman figure that will slowly melt if your guess at a letter in the word is not successful guessing letters for each correct guess the letter is revealed in its correct positions in the word and the snowman figure remains unchanged for incorrect guesses a different image of the snowman is presented signifying a melting snowman character limited incorrect guesses as a player you will only have a limited number of incorrect guesses if you exceed this limit before guessing the word correctly you will lose the game and the snowman will be completely melted  poor snowman winning or losing the game continues until the word is guessed correctly or the snowman has melted if the word is guessed successfully you win that round and the choice to play again will be displayed the original hangman game from which dont melt the snowman is based upon is a popular game for its simplicity and adaptability it can be played with pen and paper on a whiteboard or through various online platforms additionally it is often used as an educational tool to reinforce vocabulary and spelling skills dont melt the snowman is an online platform with very much of a fun way of using word play,​a festive hangman type word game which is fun to play  but dont melt the snowman,['casual'],casual 64 word game 38 singleplayer 35 education 32 spelling 29 textbased 23 cartoony 21 choices matter 19,['casual']
sea birds end of an age is a minimalist exploration game based on the life of the pirate william fly youre the new captain of a ship setting sail on the high seas of a randomly generated world search both water and land for pieces of the treasure map fighting anyone who stands in your way once you collect all four pieces you can uncover the treasure features navigate  sail from island to island exploring a randomly generated world combat  attack unsuspecting ships dock with them to start a sword fight steal what they have on board inquire  talk to locals to learn who has a piece of the treasure map sea birds end of an age is the first game officially released by game developer kevin adams music by christopher adams and kevin adams,a minimalist exploration game based on the life of the pirate william fly set sail on the high seas of a randomly generated world search both water and land for pieces of the treasure map fighting anyone who stands in your way once you collect all four pieces you can uncover the treasure,['indie'],singleplayer 85 pirates 79 2d 76 adventure 73 minimalist 70 pixel graphics 64 sailing 62 casual 60 retro 58 historical 51 indie 48 zombies 27,['indie']
ready for a great adventure the petoons need your help to face the evil kitra kitra wants to conquer the island of kimera and steal the petoons magic to control their world petoons party is a party game full of fun minigames to enjoy with family and friends play alone or with friends up to a maximum of 4 simultaneous players the game is intuitive and easy to handle the control system is very user friendly and adapted for all ages it combines high quality graphics and fun animations in a shared gaming experience to unite the whole family to play together discover 7 funny characters the petoons a group of friendly explorers yun lia momo deli fibo laka and oklo petoons party includes 3 game modes 4 boards 4 cups 28 minigames join the petoons and save their world of magical islands,ready for a great adventure the petoons need your help to face the evil kitra kitra wants to conquer the island of kimera and steal the petoons magic to control their world petoons party is a party game full of fun minigames to enjoy with family and friends,"['action', 'adventure', 'casual']",multiplayer 224 minigames 207 funny 205 family friendly 199 local coop 194 4 player local 187 casual 183 indie 180 board game 175 coop 174 comedy 166 singleplayer 156 colorful 143 controller 133 competitive 130 cute 120 fantasy 116 character customization 100 adventure 83 action 64,"['action', 'adventure', 'casual']"
the physicsbased game bridge crawler blends the ideas of games like world of goo by 2d boy and poly bridge by dry cactus can you construct a ‘bridge’ which will guide a vehicle propelled only by repulsor beams what if it’s far above where you start or when there isn’t enough time and you have to launch it at the exit sometimes the answer is careful planning and sometimes brute force is the game easy nope but that’s the point return to a time when games were sometimes difficult completing them took effort and that feeling of accomplishment and relief when a crazy idea works challenges need to slow it down or speed it up pick the game mode that fits your style want to make the perfect bridge without a time limit the ‘lowest node count’ mode should match your needs 70 levels play any level at any time no required progression or need to complete a level before moving on some levels will focus on a specific skill other take a little more creativity why the  no separate level packs to buy or dlc any additions will be available to everyone without having to buy extras tech features want to use your xbox controller enjoy 4k unusual resolution scales and multimonitor ready have a high refresh rate monitor the games 500fps cap should be plenty customizable rgba user interface multicore support with user selectable options to best fit your needs original music by abney park ,bridge crawler bends the bridgebuilding genre construct a ‘bridge’ to guide a repulsor beam propelled vehicle not bound by roads or wheels new options arise build quickly because the engine is going to start on its own sometimes the answer is careful planning and sometimes brute force,"['casual', 'indie']",indie 31 casual 31 building 12 arcade 11 singleplayer 11,"['casual', 'indie']"
simvoiceassistant is an addon that provides voice activated checklists functionality for any flight simulator when used with microsoft flight simulator it provides additional functionality features create your own voice activated checklists challengeresponse style checklists or say check to advance any checklist available msfs only automatic flight phase detection based checklist changing msfs only voice controlled pushback with voice and rudder controlled pushback angle simvoiceassistant is for simulation use only and is not an aviation training tool simvoiceassistant is for entertainment purposes only,simvoiceassistant is an addon that provides voice activated checklists functionality for any flight simulator when used with microsoft flight simulator it provides additional functionality,"['simulation', 'utilities']",simulation 56 utilities 32 software 11 flight 11 voice control 11,"['simulation', 'utilities']"
from eipix the studio that brought you final cut and myths of the world comes a thrilling mystery set deep in the heart of paris henri de toulouselautrec the worldfamous artist has come to you for help who murdered his friend sophie the leading lady of la parisienne cabaret it’s time to gather up the suspects was it the clumsy stagehand or maybe it was the jealous baron… explore the city of paris as you gather and examine evidence that will point you to the true killer but watch your step  a masked figure is watching you from around every corner make sure this thrilling hidden object puzzle adventure isn’t your last this is a special collectors edition release full of exclusive extras you won’t find in the standard version the collector’s edition includes continue exploring la parisienne in the bonus game challenging achievements and replayable minigames collectible music concept art movies and more an available strategy guide,tragedy strikes a popular parisian cabaret when their star dancer is murdered gather the suspects and unmask the killer,"['adventure', 'casual']",adventure 22 casual 22 hidden object 6,"['adventure', 'casual']"
derision you awake to the bars of your prison cell sliding open you apprehensively peak outside and the dark towering form of a lich patrolling in the distance is the reason why can you find a way to escape this nightmarish dungeon use your discernment to navigate your way past liches disguise yourself and find the key to your escape you will receive aid on your journey will you aid others after you help those imprisoned with you and those that come after you or not even if you make it out will anyone believe you or will your stories be met with derision these are questions you can provide the answers to with multiple endings based on your decisions gameplay features  firstperson adventure set in an underground prison full of liches try to escape  immerse yourself in an original and dark world created by anatolio  independently developed by anatolio first ue5 game  avoid patrolling ai  disguise yourself as a lich to sneak by and get the key to your escape  multiple interactions with npcs and notes for additional lore  1 final cinematic cutscene  3 gameplay ratings based on objectives completed  3 endings based on rating save yourself or help others  1 steam achievement for escaping  options menu for graphics settings  mature warning   1 scene with humans hanging from chains as they await to be transformed  disclaimer  this is the first production video game i have made in unreal engine 5,a firstperson horror mystery adventure game find a way to avoid your captors and escape a nightmarish dungeon in an original world and first video game created by anatolio an independent developer,['adventure'],exploration 368 fps 362 immersive sim 358 dungeon crawler 353 interactive fiction 347 life sim 337 walking simulator 330 3d 322 firstperson 313 textbased 303 horror 292 surreal 280 underground 268 choices matter 255 multiple endings 240 story rich 238 casual 221 dark fantasy 203 demons 184 magic 164,['adventure']
fos is a unique take on the endless runner where light reveals the world and darkness shows the path you lay out trapped inside a world where darkness is everywhere you must use your ability to draw lines to mark the location of platforms across procedurally generated levels where no playthrough is the same each playable character finds itself in their own part of the world with the same problem… use battery to see with your light and memory to draw lines on the screen but be careful as these are limited resources how far will you go before you run out of the battery power or memory needed to overcome the darkness classic aesthetic with keyboard menu navigation interface recommended to play in a dark room unlock new characters the more you play three different robots each with their own procedurally generated levels and unique abilities  reggie  just a regular robot with a light switch  linerider  more than meets the eye he can walk on the lines he draws  antigrav  he’s a little mixed up go up when he falls and down when he jumps two modes of play  normal mode  see how far you can get before you run out of resources or fall to your doom  time attack  get as far as you can in 60 seconds with 7 achievements to unlock advance far enough and you may uncover the secret of this dark world…,in the distant future an apocalyptic event has rendered the world in darkness where robots seem to be all that survived ration your battery and memory to get as far as you can but you cant move and see at the same time so memory use is vital mark carefully as every jump can be fatal,['indie'],indie 21 platformer 11 2d 11 pixel graphics 11 runner 11,['indie']
description wed like to introduce to you yet another remake of a widely known color lines game which we called rusty lines hereinafter just rl unlike classic color lines our game contains six game modes ie besides lines as the games name implies youll be able to compose various figures squares blocks rings crosses and lines of alternating colors youll be able to choose preferable game mode by clicking appropriate buttons to the right of the gamefield more detailed info is available at the game modes section game modes there are 6 game modes in the game line square ring cross block line2 the basic idea of every game mode is similar you need to move chips on table for matching figure when its done  its disappear and give you points every game mode have diffefent figure to build features the postapocaliptic spirit and graphics inspired by fallout series 6 different game modes hall of fame for every mode ingame help for every gamemode free to play roadmap this is how we see the development in near future this roadmap is not final and will be changed with the help of community and according to our plans ,wed like to introduce to you yet another remake of a widely known color lines game which we called rusty lines,"['casual', 'free', 'to', 'play', 'indie', 'early', 'access']",,"['casual', 'free', 'to', 'play', 'indie', 'early', 'access']"
alphabeats is an action mashup of words and music rather than being a rhythm game its an evolving word puzzle that moves to the music at speeds from tranced out to twitch action nightmare how it works 1 choose a song letters will fall to the beat  2 catch letters to make words  and deposit them to procure points 3 concoct bounteous magniloquent lexemes until the end of the song this sumptuous and velvety deluxe edition features twenty tracks  featuring artists including disasterpeace and big giant circles custom songs  listen to tunes in a whole new way turn any music file into a visualization to captivate your dexterity and intellect leaderboards  compete with your friends or ascend international echelons will you go for a high score or construct a single legendary word amplify your vocabulary  instantly look up any word you spell and gain bonuses for spelling words of the day handcurated for fun and obscurity three difficulty modes  enjoy a zen chillout on normal mode or add limited lives to form a lexical bullet hell on spellfire difficulty theoretically asked questions q isnt this a mobile port i have prepared a fusillade of rage pending your response a the original alphabeats was on mobile but weve put a lot of effort into making this edition appropriately superior to start all traces of dlc and iap have vanished weve added custom songs not possible on mobile controls can switch seamlessly between controller mouse keyboard or any combination thereof all reconfigurable weve refined the ui to work better with larger screens and added important usability options but of course the most significant improvement is you the noble pcmaclinux gamer who will shatter our fair games records with aplomb and sophistication to celebrate the preeminence of our new platform there is no longer a casual mode in alphabeats it has been replaced by normal mode q how do the custom songs work a just select custom song from the song select wheel then load in a file from your computer you can then select a visual theme and difficulty level all versions support wav mp3 and ogg files windows and osx also support m4a files it doesnt even have to be a song you could play a podcast or the resting heartbeat of your pet q has this game been tested for photosensitive effects a regrettably ive been unable to test it thus far the games aesthetics entail some high contrast and occasional flashing lights and the trailer should give a true indication of their style and pace the options screen offers a lowcontrast mode that may ameliorate these conditions for some individuals q this looks hard any tips for beginners a start with lowerdifficulty songs and consider using the autodeposit mode in options gradually work your way up to longer words until you feel like you can get more points by depositing the words yourself try experimenting with different control schemes  my favorite is mouse and keyboard using rightclick to deposit youll be spelling out highvalue arcane and lovecraftian words in no time,alphabeats remixes spelling into a fastpaced action challenge set to pulsepounding tracks from exciting electronic artists its words and music mashed up play custom songs from your hard drive or thrill to included tracks by disasterpeace big giant circles and more,"['action', 'casual', 'indie']",indie 33 action 23 casual 23 music 16 musicbased procedural generation 16 word game 14 spelling 14 puzzle 13,"['action', 'casual', 'indie']"
welcome to the hour of the snake  fast and very challenging classic snake game twobutton controls yes just two buttons one to turn left and the other to turn right three game modes campaign 70 levels 3 difficulty levels endless 5 arenas fruit hunt appearance customization play unlock new elements and customize your snake there are over 100000 possible combinations   ,snakes fruits and deadly walls  what a combination,"['casual', 'indie']",indie 33 casual 24 fastpaced 12 2d 12 difficult 12 colorful 12 character customization 12 singleplayer 11,"['casual', 'indie']"
go ace it dodge the blue obstacles as you collect points for upgrades and treasured cosmetics reach a score previously unseen and become the greatest ace in history progress roll through different environments as your skills develop and new levels are unlocked learn to conquer the unknown and find new ways to tackle the many challenges this game provides leaderboard once you have mastered your acing skills you will se your position on the leaderboard risetba and fear not this game in not pay to win your chance of becoming the greatest acer is equal to everyone else more to come this game is in development and with time only more features levels and upgrades will become available for you to accomplish hope to see you on our leaderboard in the near future  go ace it,goaceit is a runner game that challenges your gaming skills as you progress through our levelling system and unlock upgrades that spice up your gameplay join us now and cement your place in goaceit,['indie'],casual 232 runner 226 physics 222 3d platformer 211 procedural generation 201 3d 194 singleplayer 158 atmospheric 144 platformer 130 logic 115 arcade 99 colorful 82 tutorial 64 indie 20,['indie']
this is a 3d thirdperson dungeon crawling game here you can · eat foods · drink potions · read scrolls · equip regular weapons and armors but enchant them · attack monsters · roll roll far · planting · skillbuilding · trade with the merchant young girl · barbecue · open chests but theres nothing inside · open a lot of meaningless doors · have fun or have bored,a 3d thirdperson dungeon crawling game arm yourself with useful equipment and items to find the hidden deep treasure,"['adventure', 'indie', 'rpg']",adventure 55 dungeon crawler 44 voxel 38 third person 32 roguelike 29 perma death 23 dark 21 rpg 20 indie 20 singleplayer 19,"['adventure', 'indie', 'rpg']"
labyrinth hearts ii is a singleplayer 25 dungeon crawler you are summoned from another world to embody a champion and descend into the labyrinth a living organism that is said to house god only a sacrifice of love will appease this deity to grant the world 100 years of peace will you travel alone or will you and your companion face this evil together lh ii contains the option for a 18 romanceadult mode where you go through the dungeon with a companion after each dungeon you will stop to rest and have a visual novel style story telling throughout with still images for the scenes alternatively you can turn off romanceadult mode to play a dungeon crawler where you descend to face the enemy to save the world while there is only one romance option at this time later updates will include additional characters to traverse the dungeon with the game can be played in first person or 3rd person mode with the ability to change values of your camera fov and render distance for a more personal playstyle the game is written in second person perspective with emphasis on dialogue between dungeon levels your decisions at the end of the labyrinth will affect how the ending plays out you have a main hub where you travel back and forth to rest upgrade and recover you will need to manage your resources like food and light to survive the labyrinth the game has custom menus for your inventory and camera control or a more classic snes style equipment system it is a blend of classic dungeon crawling and gameplay like eye of the beholder and dungeon hack you can expect an average gameplay length from 710 hours of gameplay for each mode controller support and key binding change is not officially supported yet,descend into the labyrinth to bring peace to the world first person  3rd person dungeon crawler with the option to enable romanceadult mode,['rpg'],,['rpg']
